,valor_venda
174,473529.8
175,704593.05
176,443479.13
177,711658.36
178,277208.8
179,767221.12
180,501900.97
181,262018.55
182,351314.32
183,592683.95
184,366295.21
185,484301.13
186,446384.36
187,266858.59
188,465132.7
189,512720.92
190,394251.28
191,755817.68
192,463961.35
193,469056.07
194,337244.04
195,610646.8
196,594682.15
197,452598.38
198,513243.91
199,442439.18
200,565934.78
201,471672.98
202,454777.83
203,575976.11
204,318549.26
205,378449.14
206,495230.08
207,328277.45
208,286120.21
209,786084.42
210,496088.04
211,429782.04
212,245997.67
213,494755.59
214,608676.79
215,680005.21
216,252415.4
217,490577.53
218,376707.73
219,736570.44
220,395236.8
221,342687.03
222,494505.21
223,540955.59
224,435982.95
225,434697.72
226,482466.67
227,322064.11
228,786311.06
229,519855.86
230,574081.13
231,524643.3
232,542335.04
233,469836.36
234,238246.97
235,353244.66
236,500937.42
237,794719.61
238,553210.83
239,373955.02
240,300405.03
241,467252.58
242,342023.5
243,380566.59
244,394832.74
245,581058.57
246,540408.61
247,524949.25
248,407656.07
249,469873.03
250,471011.82
251,310969.66
252,534103.1
253,328897.76
254,345766.13
255,365315.7
256,456793.22
257,433548.05
258,793561.88
259,262330.47
260,720587.27
261,424204.88
262,757186.54
263,686504.2
264,732579.82
265,753932.09
266,731651.32
267,385602.2
268,412967.86
269,491796.37
270,783753.42
271,543828.8
272,508337.11
273,550833.85
274,624887.52
275,690604.57
276,609941.57
277,667534.04
278,259957.88
279,739387.54
280,536315.38
281,324865.22
282,289523.31
283,728447.57
284,694863.93
285,684077.22
286,706646.22
287,450137.33
288,718878.09
289,636513.24
290,531973.73
291,338630.72
292,728733.17
293,693787.34
294,554525.04
295,748723.54
296,365504.33
297,511599.01
298,717461.3
299,371078.29
300,379423.94
301,731993.28
302,254792.26
303,298955.54
304,444785.51
305,617353.89
306,637023.37
307,330333.73
308,594010.03
309,630949.86
310,798285.52
311,527773.31
312,626519.08
313,544731.81
314,575462.63
315,629580.11
316,242431.22
317,767881.66
318,451593.71
319,635481.72
320,664560.66
321,360792.22
322,593233.17
323,668352.1
324,303863.06
325,239060.09
326,266506.08
327,684359.65
328,398143.75
329,279083.17
330,358909.19
331,348978.3
332,717533.9
333,317846.62
334,403366.94
335,632860.06
336,403449.25
337,617169.54
338,510148.65
339,669003.03
340,663238.46
341,409747.97
342,779880.02
343,624775.15
344,442051.62
345,616709.97
346,792791.68
347,711374.69
348,772769.15
349,600056.81
350,456778.99
351,779707.94
352,765305.12
353,264135.48
354,664957.47
355,246647.62
356,561198.74
357,754391.01
358,262084.79
359,795888.49
360,506870.26
361,472061.91
362,336363.9
363,614237.88
364,508487.39
365,341683.35
366,716253.11
367,460887.63
368,554686.06
369,732935.72
370,662839.44
371,276201.42
372,738311.72
373,270743.11
374,738967.79
375,497835.14
376,404041.49
377,507800.44
378,404158.42
379,565934.45
380,771771.06
381,592281.34
382,332688.73
383,703142.2
384,666213.97
385,587296.36
386,660480.69
387,516985.65
388,323720.57
389,647876.56
390,722318.05
391,343964.42
392,797222.63
393,784911.59
394,770226.87
395,461993.92
396,437531.6
397,466683.56
398,478962.31
399,533675.5
400,711891.41
401,387699.38
402,788422.86
403,513474.86
404,740681.21
405,455072.55
406,462352.73
407,344819.8
408,551052.58
409,628429.58
410,439619.1
411,500680.51
412,590150.52
413,308734.78
414,463058.18
415,307935.73
416,676895.08
417,410949.15
418,489165.2
419,796412.48
420,795563.94
421,240048.3
422,606375.96
423,530092.59
424,342023.44
425,790277.45
426,621221.8
427,640650.11
428,399936.28
429,512210.71
430,653207.82
431,254965.42
432,256351.29
433,369957.31
434,758577.91
435,585808.08
436,712886.59
437,687358.98
438,732868.55
439,609785.9
440,794741.68
441,428116.07
442,643294.2
443,255782.94
444,433540.6
445,344704.41
446,406124.6
447,735819.07
448,362447.78
449,702449.82
450,435074.37
451,509248.04
452,783844.62
453,246976.74
454,331151.5
455,388313.76
456,483584.39
457,546738.01
458,675619.66
459,301179.71
460,295392.29
461,300644.5
462,518607.36
463,566316.77
464,282378.89
465,421464.61
466,792258.57
467,612131.13
468,704816.8
469,731524.44
470,293478.69
471,760976.15
472,337726.58
473,268792.83
474,417557.99
475,258445.17
476,284863.96
477,673872.1
478,260025.52
479,455143.36
480,349063.92
481,426673.14
482,408886.36
483,645409.36
484,610522.24
485,276546.99
486,348673.04
487,763003.27
488,343365.38
489,640353.12
490,746182.86
491,409452.47
492,785782.52
493,610002.22
494,395652.29
495,732290.04
496,604505.5
497,329318.92
498,632382.92
499,265677.43
500,274081.6
501,773573.1
502,404593.29
503,330396.96
504,290701.16
505,791341.16
506,368947.55
507,422122.29
508,425651.56
509,329663.18
510,380410.61
511,565814.0
512,536280.24
513,529615.93
514,287359.2
515,445662.22
516,311858.08
517,354139.59
518,703280.06
519,409322.57
520,409604.77
521,480215.19
522,604810.31
523,564256.16
524,249242.99
525,270012.56
526,526750.21
527,722357.3
528,269526.35
529,731027.93
530,719960.56
531,510528.38
532,771825.54
533,393400.45
534,659565.91
535,592658.16
536,488240.96
537,370560.8
538,732192.31
539,515528.71
540,484888.14
541,653260.82
542,787871.04
543,312075.93
544,776560.09
545,650834.94
546,389896.18
547,367091.78
548,716513.87
549,478081.64
550,792727.47
551,423696.32
552,620095.43
553,579224.34
554,665306.11
555,475645.7
556,280491.37
557,622221.28
558,344527.16
559,763228.75
560,754611.68
561,485601.07
562,614164.77
563,296141.54
564,277090.08
565,398159.93
566,497741.87
567,567754.5
568,386823.42
569,682188.93
570,511788.34
571,444348.92
572,510283.96
573,462390.72
574,736513.8
575,659526.19
576,744064.2
577,641978.14
578,593596.97
579,461932.88
580,529692.36
581,762577.86
582,591159.05
583,746926.43
584,613660.78
585,783949.42
586,478031.97
587,576446.69
588,627689.3
589,421937.37
590,356828.93
591,409113.8
592,535279.94
593,345425.22
594,728736.1
595,565252.81
596,479301.52
597,542371.87
598,711433.85
599,371752.37
600,396889.97
601,654584.22
602,261741.44
603,550867.06
604,449593.63
605,453791.99
606,244922.83
607,618556.12
608,248170.0
609,707136.13
610,767594.81
611,403656.17
612,238503.21
613,351369.93
614,314893.71
615,349895.08
616,681974.79
617,526807.15
618,392453.2
619,493289.45
620,752992.35
621,738776.31
622,430682.52
623,789000.86
624,725238.35
625,434096.39
626,482328.74
627,246029.22
628,322429.8
629,411501.45
630,341828.09
631,506013.06
632,648028.43
633,521270.34
634,560796.83
635,527995.28
636,417718.46
637,651057.71
638,407746.06
639,698510.27
640,326443.52
641,468893.56
642,587620.28
643,311454.89
644,589373.34
645,625180.39
646,263435.44
647,623862.32
648,422775.36
649,360227.59
650,487389.46
651,317562.74
652,671108.63
653,318010.78
654,741910.76
655,613547.5
656,323715.54
657,254639.38
658,608347.23
659,407325.79
660,676521.44
661,685054.05
662,734152.36
663,301405.0
664,628483.26
665,754804.26
666,617235.11
667,750482.76
668,331800.49
669,342720.31
670,432755.11
671,327696.13
672,525934.26
673,601527.75
674,362705.02
675,778135.56
676,579294.39
677,433681.45
678,491891.61
679,520396.49
680,242132.04
681,549001.41
682,362612.15
683,491531.97
684,749305.47
685,309073.91
686,355452.72
687,603855.87
688,788354.51
689,626920.51
690,695055.96
691,600132.91
692,510192.69
693,348856.61
694,726893.4
695,634656.85
696,400663.13
697,374503.3
698,711357.64
699,366018.11
700,492642.26
701,476796.44
702,768532.06
703,589404.74
704,754200.43
705,531637.91
706,535418.03
707,564079.21
708,509301.4
709,696826.96
710,361558.64
711,478561.25
712,373041.08
713,671740.8
714,468346.72
715,280463.78
716,756034.3
717,331112.07
718,385463.71
719,748529.05
720,427806.27
721,658869.15
722,356258.26
723,379018.32
724,778034.52
725,470802.66
726,718968.14
727,468760.93
728,574056.33
729,776944.33
730,770087.83
731,556657.92
732,494338.12
733,283503.86
734,408488.19
735,468945.99
736,393669.19
737,493032.88
738,546180.44
739,238852.41
740,399040.47
741,268763.22
742,457868.8
743,650936.56
744,792660.57
745,715275.91
746,394489.45
747,637294.58
748,602498.31
749,304921.79
750,401018.34
751,592848.29
752,256920.59
753,619594.09
754,701202.59
755,344627.39
756,733345.84
757,407404.28
758,288858.19
759,430003.24
760,270447.6
761,581042.11
762,260489.53
763,255391.91
764,456858.34
765,664615.04
766,710201.16
767,453395.82
768,453546.82
769,395678.5
770,493938.44
771,385201.3
772,730212.48
773,722965.21
774,280872.83
775,694029.78
776,693960.12
777,633712.84
778,734568.24
779,580162.95
780,423872.16
781,326119.01
782,521312.75
783,306950.08
784,586549.79
785,311538.36
786,344785.55
787,557017.67
788,370791.0
789,536606.41
790,707326.44
791,314537.21
792,313712.15
793,514817.6
794,344615.45
795,603963.81
796,344178.77
797,701379.29
798,663721.15
799,741146.51
800,275599.78
801,674432.38
802,255819.06
803,394006.09
804,785857.23
805,577514.72
806,406165.79
807,610385.19
808,434438.09
809,765096.05
810,493907.75
811,298204.71
812,686670.21
813,711388.61
814,535084.68
815,343297.1
816,337469.88
817,292252.23
818,672712.7
819,613902.68
820,466176.87
821,246486.65
822,564630.53
823,441134.9
824,320829.53
825,711628.52
826,464455.78
827,654899.84
828,798281.15
829,705362.01
830,571876.75
831,687820.94
832,659234.1
833,372193.03
834,310737.01
835,451129.66
836,751081.08
837,260952.34
838,724885.95
839,381610.57
840,652481.44
841,412075.3
842,763504.63
843,379217.81
844,717119.73
845,368846.93
846,450947.23
847,313124.5
848,261378.49
849,298779.63
850,569543.15
851,496110.45
852,729335.16
853,560963.83
854,684557.65
855,451237.2
856,578182.17
857,331392.78
858,432257.19
859,723215.85
860,538016.98
861,358451.49
862,798851.11
863,673216.76
864,326320.41
865,774965.38
866,571006.12
867,367375.23
868,380758.47
869,281267.51
870,345801.69
871,664106.53
872,535547.16
873,378505.96
874,431254.09
875,249299.73
876,790290.53
877,774746.2
878,355221.72
879,543065.35
880,664903.3
881,577470.02
882,521430.94
883,793264.89
884,754574.06
885,774840.5
886,274291.69
887,326778.02
888,667676.11
889,535139.86
890,609644.81
891,537281.57
892,483476.06
893,265083.55
894,520730.23
895,675344.5
896,580274.74
897,365852.36
898,470448.12
899,365544.64
900,710549.14
901,662996.48
902,510076.07
903,566967.76
904,754021.36
905,514325.46
906,486338.53
907,472393.53
908,674138.77
909,658820.37
910,434613.31
911,539461.77
912,591324.51
913,335804.89
914,698107.91
915,634722.6
916,678895.75
917,799574.68
918,719537.62
919,381855.63
920,496730.73
921,477140.85
922,459673.96
923,347851.58
924,530204.54
925,523448.1
926,463317.36
927,417118.41
928,279078.91
929,411394.59
930,547399.98
931,517325.34
932,616198.3
933,375018.74
934,555371.33
935,278593.44
936,785912.15
937,359002.5
938,741436.86
939,780932.62
940,624427.32
941,550016.29
942,239059.18
943,323872.71
944,496370.94
945,708580.2
946,387756.3
947,415735.57
948,508705.8
949,506834.65
950,308478.88
951,737784.41
952,761564.22
953,534826.13
954,575715.59
955,365029.8
956,424526.65
957,536537.0
958,282407.05
959,549749.49
960,277509.26
961,583428.23
962,507657.31
963,623179.18
964,269535.82
965,252871.21
966,308189.35
967,304254.22
968,454363.45
969,529701.38
970,635454.46
971,248059.37
972,285273.01
973,708039.37
974,379842.97
975,727439.5
976,615161.74
977,365017.23
978,507617.79
979,428433.54
980,703980.72
981,383124.07
982,426995.29
983,374108.11
984,319553.0
985,789445.69
986,401432.57
987,685564.76
988,419797.26
989,500432.03
990,431069.58
991,341336.92
992,615194.64
993,687532.48
994,675108.13
995,402197.57
996,292501.76
997,693682.07
998,262709.76
999,396907.42
1000,302371.93
1001,242669.47
1002,456549.79
1003,400230.87
1004,283222.63
1005,332523.32
1006,341252.89
1007,796268.37
1008,736383.57
1009,786144.09
1010,450543.17
1011,249280.27
1012,534774.28
1013,294658.46
1014,532641.87
1015,761695.39
1016,520437.97
1017,749062.81
1018,579027.18
1019,612384.8
1020,436958.75
1021,373398.25
1022,257534.3
1023,381756.06
1024,539963.75
1025,730035.77
1026,275781.93
1027,779776.08
1028,474992.85
1029,655533.45
1030,244191.72
1031,598802.19
1032,641182.39
1033,631805.57
1034,250607.24
1035,498258.79
1036,766593.71
1037,327254.33
1038,534769.71
1039,616322.69
1040,284579.98
1041,405133.96
1042,745529.38
1043,360189.35
1044,328537.86
1045,695765.02
1046,630808.14
1047,485401.59
1048,503564.41
1049,764337.42
1050,745452.79
1051,442309.88
1052,507063.06
1053,640967.58
1054,413266.88
1055,258574.44
1056,709848.0
1057,435667.41
1058,603401.19
1059,581941.97
1060,740380.27
1061,792231.64
1062,678858.69
1063,672797.25
1064,254991.35
1065,294742.15
1066,413472.23
1067,591056.6
1068,650434.38
1069,640292.63
1070,293775.21
1071,791406.19
1072,547982.69
1073,731140.5
1074,308289.87
1075,238213.96
1076,631853.23
1077,766798.95
1078,753414.58
1079,308840.24
1080,696168.35
1081,243664.34
1082,502245.84
1083,243476.82
1084,302814.86
1085,590195.08
1086,357157.77
1087,692376.38
1088,793607.35
1089,708404.82
1090,288494.15
1091,275541.22
1092,457865.16
1093,368175.42
1094,589544.83
1095,759004.78
1096,264936.97
1097,405301.54
1098,773999.91
1099,474132.32
1100,617535.5
1101,714938.07
1102,609800.37
1103,546502.12
1104,687535.4
1105,610851.41
1106,376531.86
1107,405950.52
1108,452367.29
1109,561354.04
1110,609887.17
1111,453870.91
1112,519548.43
1113,380063.84
1114,239609.55
1115,429685.49
1116,737705.97
1117,324950.61
1118,629787.7
1119,768847.62
1120,274607.43
1121,553167.33
1122,628915.12
1123,726486.01
1124,508840.35
1125,379421.35
1126,497616.5
1127,488347.29
1128,698555.69
1129,277948.34
1130,613868.39
1131,702033.91
1132,670788.56
1133,422208.43
1134,577876.26
1135,713335.04
1136,356561.96
1137,429847.57
1138,746862.0
1139,407242.54
1140,505419.33
1141,794755.43
1142,777290.97
1143,347294.77
1144,418068.73
1145,404918.36
1146,749526.35
1147,260144.45
1148,328343.7
1149,577048.35
1150,767536.46
1151,390134.44
1152,492916.27
1153,537400.4
1154,237575.57
1155,597525.11
1156,420017.15
1157,306806.7
1158,447382.93
1159,576154.48
1160,710952.81
1161,417398.74
1162,446429.84
1163,761887.63
1164,542954.49
1165,623657.4
1166,335427.61
1167,292025.16
1168,444713.96
1169,642945.45
1170,519836.86
1171,601853.44
1172,340308.09
1173,756378.0
1174,729896.3
1175,761529.25
1176,447508.31
1177,552727.15
1178,415202.49
1179,602987.25
1180,533697.54
1181,776205.86
1182,687094.3
1183,636703.95
1184,347050.27
1185,276866.03
1186,556944.31
1187,549849.97
1188,745575.56
1189,429411.45
1190,742220.15
1191,380442.18
1192,607228.83
1193,304332.2
1194,706873.17
1195,393352.32
1196,283727.91
1197,597682.62
1198,255824.73
1199,371440.43
1200,407886.35
1201,727327.95
1202,251935.94
1203,533518.49
1204,686829.62
1205,679654.04
1206,593883.93
1207,320587.55
1208,429726.42
1209,242519.13
1210,614374.68
1211,344921.78
1212,798796.14
1213,656699.73
1214,609743.52
1215,440524.71
1216,759202.42
1217,612930.52
1218,353641.93
1219,681036.32
1220,713633.88
1221,367027.04
1222,350887.42
1223,773577.22
1224,784732.48
1225,334908.2
1226,575413.87
1227,267161.45
1228,255849.98
1229,239030.92
1230,678570.16
1231,406636.72
1232,676745.82
1233,308305.64
1234,340339.8
1235,506299.87
1236,518241.3
1237,688988.01
1238,398146.84
1239,242778.86
1240,623179.94
1241,614726.05
1242,634810.48
1243,505959.94
1244,681901.81
1245,296891.96
1246,490070.97
1247,379187.84
1248,443918.78
1249,283782.98
1250,582716.06
1251,762904.08
1252,491308.55
1253,457751.83
1254,438039.5
1255,730462.26
1256,256798.68
1257,542840.48
1258,523222.17
1259,539178.28
1260,776135.73
1261,757794.75
1262,666242.51
1263,440257.61
1264,504203.18
1265,602845.3
1266,501671.43
1267,329037.59
1268,408827.57
1269,278361.06
1270,289155.31
1271,330410.74
1272,370476.5
1273,328890.8
1274,635294.53
1275,534433.07
1276,295158.51
1277,360508.04
1278,758831.65
1279,774849.76
1280,314364.75
1281,315693.7
1282,320803.55
1283,641507.19
1284,487211.66
1285,395292.91
1286,378615.04
1287,460651.45
1288,565162.07
1289,238525.4
1290,402164.55
1291,417424.95
1292,280200.73
1293,757473.98
1294,797858.42
1295,677035.35
1296,751580.72
1297,714076.11
1298,424736.59
1299,635169.98
1300,686754.77
1301,396792.75
1302,735877.32
1303,706861.42
1304,588954.28
1305,731913.4
1306,365722.82
1307,333812.67
1308,319608.8
1309,377075.47
1310,727450.03
1311,528569.21
1312,413743.9
1313,519505.71
1314,587625.1
1315,628249.72
1316,356280.23
1317,792411.24
1318,665697.66
1319,447792.14
1320,340312.77
1321,627789.05
1322,649317.05
1323,666960.3
1324,508148.66
1325,491278.4
1326,352734.83
1327,314325.44
1328,753363.31
1329,526776.18
1330,334745.85
1331,639513.36
1332,675464.31
1333,453675.72
1334,503287.98
1335,248926.09
1336,491929.87
1337,579544.45
1338,595624.85
1339,389710.16
1340,638098.96
1341,284350.96
1342,263568.36
1343,531690.46
1344,448889.38
1345,688544.87
1346,632084.93
1347,740633.36
1348,791209.37
1349,603737.32
1350,763371.77
1351,645611.01
1352,272301.85
1353,537717.46
1354,466731.69
1355,740525.82
1356,400921.18
1357,717402.91
1358,742226.14
1359,320152.18
1360,548042.19
1361,296576.45
1362,765294.08
1363,799089.58
1364,500732.43
1365,281794.92
1366,786995.58
1367,316950.58
1368,418295.01
1369,555559.39
1370,486107.14
1371,281063.61
1372,707814.35
1373,689702.94
1374,289210.92
1375,315633.41
1376,785096.54
1377,630955.41
1378,604574.61
1379,666278.13
1380,319357.05
1381,308425.24
1382,261528.46
1383,432601.45
1384,709596.98
1385,764994.78
1386,645499.74
1387,709945.01
1388,695874.2
1389,426489.91
1390,799952.68
1391,522329.53
1392,699041.86
1393,540242.3
1394,283643.97
1395,303653.61
1396,711255.12
1397,348402.88
1398,617096.94
1399,745805.47
1400,733079.94
1401,530034.41
1402,638619.91
1403,621686.31
1404,360450.5
1405,543249.15
1406,567008.04
1407,509098.19
1408,276676.36
1409,752502.95
1410,621696.15
1411,786458.86
1412,561101.63
1413,344633.14
1414,557859.97
1415,332473.03
1416,515934.4
1417,713684.51
1418,643516.61
1419,449862.6
1420,394534.78
1421,679778.05
1422,637880.78
1423,272362.66
1424,426494.07
1425,282908.12
1426,701160.51
1427,441989.19
1428,275579.02
1429,391457.11
1430,572269.44
1431,767614.21
1432,716314.37
1433,298372.86
1434,353938.55
1435,681100.34
1436,799173.58
1437,289578.88
1438,350880.68
1439,569256.28
1440,760029.71
1441,629374.37
1442,737654.08
1443,774255.5
1444,540392.32
1445,315171.21
1446,282029.7
1447,698905.46
1448,594368.22
1449,383741.43
1450,264342.33
1451,322164.95
1452,503006.92
1453,784400.14
1454,246888.19
1455,690505.01
1456,723831.86
1457,257916.69
1458,761342.1
1459,508953.35
1460,426414.63
1461,361206.11
1462,560018.24
1463,406675.43
1464,324631.17
1465,785264.08
1466,734392.54
1467,693718.5
1468,643356.88
1469,301106.56
1470,574139.13
1471,432906.28
1472,643191.58
1473,764300.37
1474,703418.59
1475,466467.39
1476,241287.65
1477,519954.96
1478,600860.4
1479,660204.61
1480,740966.51
1481,622037.09
1482,341394.7
1483,734789.55
1484,363576.25
1485,530524.69
1486,504815.68
1487,636233.69
1488,744653.32
1489,617219.54
1490,626975.03
1491,450837.24
1492,241091.12
1493,296414.14
1494,304897.5
1495,546743.53
1496,563178.95
1497,712584.05
1498,347786.12
1499,343365.96
1500,317888.73
1501,324486.91
1502,424612.83
1503,283689.27
1504,723712.58
1505,564009.51
1506,790733.22
1507,334946.89
1508,315327.06
1509,538191.39
1510,767355.27
1511,692493.97
1512,619064.6
1513,754382.9
1514,770613.34
1515,415058.82
1516,765813.13
1517,276258.57
1518,397835.53
1519,475289.38
1520,456985.96
1521,288368.35
1522,243033.65
1523,334926.85
1524,528838.24
1525,793625.11
1526,321465.46
1527,599207.24
1528,250281.23
1529,561996.53
1530,492205.89
1531,259192.15
1532,453350.57
1533,544001.06
1534,798799.04
1535,772028.55
1536,511769.03
1537,635213.59
1538,578618.51
1539,692449.96
1540,742648.35
1541,549445.87
1542,721472.3
1543,779052.06
1544,675140.44
1545,347512.19
1546,685560.78
1547,592501.07
1548,442707.12
1549,314472.79
1550,443296.03
1551,305343.34
1552,580856.07
1553,390155.58
1554,686565.2
1555,643864.21
1556,714328.2
1557,767293.36
1558,309095.41
1559,681785.0
1560,690147.27
1561,471577.25
1562,670099.82
1563,285765.89
1564,414547.99
1565,308319.77
1566,321443.33
1567,704150.89
1568,726456.47
1569,613717.65
1570,268465.18
1571,481109.52
1572,346275.42
1573,708294.52
1574,785050.89
1575,604135.7
1576,460022.69
1577,259464.59
1578,758006.88
1579,535300.82
1580,402332.64
1581,309597.36
1582,355165.85
1583,325548.66
1584,247659.24
1585,367832.62
1586,282055.73
1587,355409.68
1588,558830.11
1589,354899.19
1590,279625.82
1591,411108.25
1592,398081.26
1593,531887.99
1594,455125.73
1595,712259.37
1596,582644.47
1597,461975.7
1598,425308.85
1599,582333.31
1600,644423.64
1601,755899.86
1602,729994.54
1603,455585.29
1604,615545.23
1605,349651.46
1606,511613.92
1607,790481.65
1608,294934.77
1609,323615.58
1610,317640.0
1611,710714.92
1612,311979.62
1613,330924.63
1614,353670.47
1615,382639.64
1616,535314.74
1617,600338.06
1618,347147.16
1619,450205.38
1620,353338.65
1621,755370.57
1622,437705.59
1623,575631.92
1624,733195.69
1625,555029.9
1626,363704.77
1627,499313.92
1628,286569.76
1629,481434.69
1630,455216.42
1631,601226.44
1632,654909.65
1633,757566.49
1634,474723.47
1635,665667.92
1636,411387.17
1637,580434.37
1638,517653.31
1639,372797.53
1640,319292.16
1641,691748.85
1642,288775.05
1643,731725.16
1644,547606.31
1645,573191.31
1646,420764.27
1647,421395.38
1648,584012.38
1649,257409.17
1650,246243.33
1651,633185.53
1652,660388.8
1653,768158.47
1654,316780.33
1655,358725.29
1656,669604.03
1657,239831.2
1658,500770.87
1659,730837.93
1660,373734.34
1661,288241.91
1662,537398.7
1663,426294.23
1664,635401.66
1665,741307.73
1666,383370.28
1667,435726.03
1668,354953.96
1669,426616.5
1670,537284.67
1671,797561.56
1672,718099.53
1673,717054.02
1674,315659.97
1675,712780.98
1676,611658.61
1677,545916.78
1678,473597.96
1679,571944.06
1680,415463.76
1681,622043.92
1682,293344.27
1683,795709.83
1684,249324.07
1685,733950.07
1686,795891.14
1687,309993.36
1688,269663.68
1689,515893.81
1690,593939.49
1691,240152.83
1692,710015.7
1693,788136.6
1694,276862.47
1695,376894.35
1696,659883.57
1697,371355.62
1698,446063.51
1699,737141.88
1700,672063.59
1701,533802.05
1702,743128.23
1703,515236.71
1704,793072.66
1705,261032.53
1706,384268.63
1707,690072.33
1708,681579.31
1709,700852.57
1710,273659.46
1711,747803.02
1712,701366.41
1713,588648.25
1714,584426.3
1715,637354.99
1716,625555.54
1717,528055.3
1718,272958.33
1719,698131.69
1720,628536.57
1721,288312.77
1722,318188.55
1723,763887.22
1724,535866.01
1725,302588.54
1726,646107.12
1727,387935.52
1728,323286.15
1729,386009.81
1730,679059.61
1731,264856.39
1732,399304.2
1733,385835.99
1734,704668.27
1735,560607.06
1736,414174.08
1737,714728.67
1738,736362.37
1739,756592.9
1740,553175.3
1741,468350.02
1742,350026.79
1743,546586.87
1744,791969.95
1745,590112.42
1746,367935.77
1747,400198.43
1748,790551.32
1749,420349.82
1750,774622.61
1751,581665.09
1752,460321.77
1753,307149.29
1754,601035.68
1755,591455.99
1756,259064.16
1757,247443.52
1758,288334.62
1759,277915.6
1760,692045.56
1761,477045.02
1762,712932.17
1763,298878.41
1764,620120.5
1765,541071.68
1766,552689.76
1767,689207.08
1768,479150.84
1769,551600.56
1770,309720.33
1771,355257.54
1772,286563.15
1773,472202.8
1774,670520.12
1775,510706.31
1776,314795.12
1777,630256.13
1778,461388.34
1779,470246.17
1780,700519.88
1781,701993.44
1782,653038.71
1783,250359.55
1784,745547.44
1785,582258.74
1786,418771.99
1787,706828.06
1788,632765.08
1789,435935.3
1790,745553.13
1791,594446.1
1792,491109.67
1793,627169.36
1794,655099.56
1795,737159.54
1796,447651.07
1797,609170.67
1798,716309.31
1799,509355.56
1800,694146.09
1801,266829.05
1802,742649.67
1803,640158.01
1804,273121.53
1805,703267.7
1806,455231.52
1807,568576.73
1808,769869.6
1809,275696.44
1810,648897.47
1811,593311.81
1812,660565.12
1813,503717.19
1814,527023.91
1815,531944.92
1816,472796.9
1817,543153.89
1818,671908.35
1819,584602.31
1820,280441.92
1821,577134.14
1822,550976.9
1823,431119.89
1824,547218.97
1825,737320.94
1826,641441.47
1827,292666.37
1828,337753.93
1829,241530.24
1830,701823.86
1831,480916.65
1832,328029.58
1833,375050.7
1834,684340.09
1835,288678.7
1836,309560.81
1837,321623.18
1838,719320.15
1839,668398.39
1840,430371.22
1841,385113.01
1842,671545.09
1843,692248.83
1844,428283.52
1845,281715.2
1846,673644.31
1847,472881.81
1848,654778.08
1849,267039.04
1850,588608.59
1851,287967.99
1852,771257.32
1853,579853.75
1854,622814.06
1855,311277.4
1856,702243.65
1857,696276.56
1858,535424.13
1859,597536.75
1860,317799.62
1861,524600.2
1862,360950.45
1863,747064.8
1864,587985.02
1865,775865.0
1866,242428.15
1867,712696.35
1868,621340.61
1869,438217.58
1870,414233.67
1871,794010.19
1872,749772.7
